id,nome,codigo,ean,status,valor_venda,estoque_disponivel,estoque_reservado,estoque_total,estoque_minimo,categoria,custo_medio,peso_liquido,descricao,updated_at,Atualizar
a7396475-2759-4386-b26f-5322815b6a7e,1-G-COXINHA AIPIM FRANGO C/20 130GR,1,7898620330217,ATIVO,"53,30",112,,112,80,Produto Acabado,"4,56","1,25",,2026-02-05T18:31:45.504175Z,
030bfa5e-e7b4-434d-aaab-bd1833056c74,1-G-COXINHA TRADICIONAL FRANGO C/20 130GR,3059,7898620330224,ATIVO,"54,50",120,,120,180,Produto Acabado,"3,35","1,25",,2026-02-05T18:31:45.796034Z,
b4d36edf-88b1-4b97-953a-a2464785428e,1-G-EMPANADO SALSICHA C/10 140GR,3078,7898620330262,ATIVO,"39,18",145,,145,50,Produto Acabado,"4,61","1,40",,2026-01-20T11:20:23.884008Z,
163a28e9-7233-4085-9016-804c2790d73a,1-GG-COXINHA FRANGO C/10 170GR,5151,7898620330842,ATIVO,"40,29",165,5,170,100,Produto Acabado,"5,26","1,25",,2026-01-20T11:20:23.461753Z,
65158d61-d0fe-48ab-b39e-4236ad8d3d7f,1-G-[O]-EMPANADO SALSICHA C/10 140GR,5544,7898620330989,ATIVO,"35,28",,,,24,Produto Acabado,"4,61","1,40",,2026-01-20T13:09:47.052175Z,
fdebd8b9-b5b5-4974-acd7-a72e2d8b7b7d,1-G-RISOLES CARNE C/10 140GR,3063,7898620330491,ATIVO,"28,46",82,,82,40,Produto Acabado,"6,03","1,40",,2026-02-05T18:31:45.893238Z,
34571b82-2738-4d2d-8200-17a16a6611f0,1-G-RISOLES PIZZA C/10 140GR,3062,7898620330521,ATIVO,"28,46",72,,72,40,Produto Acabado,"6,23","1,40",,2026-01-20T10:52:48.594893Z,
68d1c232-a246-41c9-8680-515902324f7a,2-FR-BOLINHO DE CARNE C/10,3065,,ATIVO,"71,50",59,,59,5,Material p/ revenda,"35,00",,,2026-02-05T18:31:45.845028Z,
6c91e31b-dfc1-435a-a2a0-d569a584e35d,2-FR-EMPANADO SALSICHA C/10 140GR,3079,7898620330255,ATIVO,"46,68",,,,12,Produto Acabado,,"1,40",,2026-02-05T18:31:45.761344Z,
1b02de61-5507-4149-9338-81fafa1473df,2-FR-ESPETINHO FRANGO C/BAC. C/10,3333,7898620330545,ATIVO,"71,50",56,,56,5,Material p/ revenda,"37,50","1,00",,2026-02-04T16:16:50.769189Z,
7ff8bae1-57b7-4bad-bb8b-07840c339029,2-FR-G-COXINHA-AIPIM-FRANGO C/20 130GR,3051,7898620330149,ATIVO,"59,35",,,,55,Produto Acabado,,"1,00",,2026-02-05T18:31:45.908376Z,
4fabcc3f-6af0-4021-8087-a91b2b48c402,2-FR-GG-COXINHA FRANGO C/10 170GR,5182,7898620330866,ATIVO,"45,58",,,,100,Produto Acabado,"5,61","1,70",,2026-01-20T10:55:28.618939Z,
c161cfd2-8b3b-4416-8e22-8b4cb4117976,2-FR-M-COXINHA FRANGO C/AIPIM C/30 60GR,5023,7898620330767,ATIVO,"50,10",66,,66,58,Produto Acabado,"3,61","1,20",,2026-01-20T10:55:44.422489Z,
ccacc0e0-9127-44de-9790-16ce8801ea56,2-FR-M-COXINHA KIBE C/20 75GR,5592,7898620331108,ATIVO,"56,91",,,,5,Produto Acabado,,"1,50",,2026-01-20T10:55:58.913264Z,
b109b753-b260-4e71-8336-05d17f18fd5c,2-FR-M-COXINHA LING.BLUMEN.C/30 65GR,5298,7898620330873,ATIVO,"57,61",,,,16,Produto Acabado,,"1,50",,2026-01-20T10:56:12.111935Z,
7bc47f82-1c49-4d5a-a92b-853b3f9a3ac2,2-FR-RISOLES DE CARNE C/10,3069,7898620330484,ATIVO,"40,29",17,,17,25,Produto Acabado,"3,66","1,00",,2026-01-20T10:56:24.946012Z,
